x,y,z,I
808531.64,6484619.350000001,498.89,2440.0
808537.77,6484600.0,498.90000000000003,3129.0
808529.88,6484624.54,498.90000000000003,2732.0
808529.5800000001,6484625.0,498.91,2511.0
808534.35,6484611.66,498.91,2477.0
808533.73,6484612.36,498.92,2548.0
808531.1,6484620.73,498.93,2626.0
808534.4,6484610.2700000005,498.93,2615.0
808530.06,6484623.63,498.94,3279.0
808534.27,6484610.71,498.95,3170.0
808529.99,6484623.59,498.95,2731.0
808537.91,6484598.91,498.96000000000004,2771.0
808534.62,6484609.51,498.96000000000004,2921.0
808533.15,6484612.73,498.97,3028.0
808537.22,6484600.8100000005,498.97,2866.0
808356.47,6484603.58,498.98,1796.0
808536.9400000001,6484602.12,498.98,2949.0
808533.5800000001,6484612.12,498.98,3173.0
808535.49,6484606.55,498.99,2982.0
808530.26,6484622.82,498.99,2401.0
808533.18,6484612.66,498.99,2823.0
808528.7000000001,6484625.2700000005,499.0,2830.0
808356.16,6484603.79,499.0,2369.0
808530.8,6484620.63,499.01,2714.0
808534.79,6484608.57,499.01,2670.0
808357.03,6484602.8100000005,499.01,1336.0
808523.3,6484625.98,499.02000000000004,3479.0
808531.0,6484619.53,499.02000000000004,2317.0
808532.71,6484614.05,499.02000000000004,2803.0
808523.85,6484625.62,499.03000000000003,2870.0
808536.12,6484604.140000001,499.03000000000003,3012.0
808535.09,6484607.11,499.04,2624.0
808530.14,6484621.74,499.04,2715.0
808528.5700000001,6484624.87,499.04,2735.0
808533.85,6484611.16,499.04,2834.0
808537.5700000001,6484598.8100000005,499.05,2701.0
808524.4500000001,6484624.79,499.05,3408.0
808533.72,6484611.46,499.05,2769.0
808537.84,6484598.24,499.06,2777.0
808536.77,6484612.87,499.06,2112.0
808533.81,6484610.18,499.06,3368.0
808524.64,6484625.2700000005,499.06,3488.0
808531.1900000001,6484617.75,499.07,2492.0
808536.63,6484602.0200000005,499.07,2951.0
808532.39,6484614.13,499.07,2683.0
808353.11,6484615.350000001,499.07,970.0
808531.68,6484616.25,499.08,2948.0
808536.31,6484602.82,499.08,3150.0
808533.76,6484610.09,499.08,2935.0
808530.21,6484620.88,499.08,2852.0
808523.02,6484624.59,499.09000000000003,3361.0
808529.8,6484621.65,499.09000000000003,3004.0
808525.03,6484623.94,499.09000000000003,3079.0
808523.23,6484624.01,499.09000000000003,3217.0
808523.02,6484624.46,499.09000000000003,3039.0
808532.43,6484613.72,499.1,3186.0
808523.73,6484623.43,499.1,3061.0
808536.52,6484601.850000001,499.1,3107.0
808522.16,6484625.32,499.1,4199.0
808524.76,6484622.03,499.1,2983.0
808525.53,6484625.47,499.11,3443.0
808534.6,6484607.97,499.11,2485.0
808532.13,6484614.65,499.11,2688.0
808524.66,6484621.55,499.11,3249.0
